代码	名称	发行总额(亿元)	期限(年)	发行价格	票面利率(发行参考利率)(%)	息票品种	附息利率类型	付息频率	发行日期	起息日期	到期日期	剩余年限(年)	债券信用评级	债券评级类型	债券评级机构	债券评级日期	主体信用评级	主体评级类型	主体评级机构	主体评级日期	担保人	担保方式	是否跨市场	GICS一级行业	GICS二级行业	GICS三级行业	GICS四级行业	发行公告日期	上市公告日期	上市日期	承销方式	发行费率	发行人	发行人类型	交易市场	交易状态	债券类型	省份	城市
1082038.IB	10川高速MTN2	45	5	100	5.1	附息	浮动利率	1年1次	2010/3/16	2010/3/18	2015/3/18		AAA	长期信用评级	中诚信国际信用评级有限责任公司	2014/6/13	AA+	长期信用评级	中诚信国际信用评级有限责任公司	2015/7/28	四川省交通投资集团有限责任公司	不可撤销连带责任担保	FALSE	工业	运输	交通基础设施	公路与铁路	2010/3/11	2010/3/18	2010/3/19	余额包销		四川高速公路建设开发总公司	地方国有企业	银行间债券市场	到期	一般中期票据	四川省	成都市
041459013.IB	14海淀国资CP001	32	1	100	5.75	到期一次还本付息	固定利率		2014/3/14	2014/3/18	2015/3/18		A-1	短期信用评级	大公国际资信评估有限公司	2014/6/26	AAA	长期信用评级	大公国际资信评估有限公司	2015/6/26			FALSE	金融	多元金融	多元金融服务	多领域控股	2014/3/11	2014/3/18	2014/3/19	余额包销		北京市海淀区国有资本经营管理中心	地方国有企业	银行间债券市场	到期	一般短期融资券	北京	北京市
011499087.IB	14国联SCP002	6	0.25	100	5.2	到期一次还本付息	固定利率		2014/12/16	2014/12/18	2015/3/18						AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/7/30			FALSE	工业	资本货物	综合类Ⅲ	综合类行业	2014/12/15	2014/12/18	2014/12/19	余额包销		无锡市国联发展(集团)有限公司	地方国有企业	银行间债券市场	到期	超短期融资债券	江苏省	无锡市
041460020.IB	14闽漳龙CP001	10	1	100	6.28	到期一次还本付息	固定利率		2014/3/14	2014/3/17	2015/3/17		A-1	短期信用评级	联合资信评估有限公司	2014/6/3	AA+	长期信用评级	联合资信评估有限公司	2015/9/15			FALSE	工业	运输	交通基础设施	公路与铁路	2014/3/11	2014/3/17	2014/3/18	余额包销		福建漳龙集团有限公司	地方国有企业	银行间债券市场	到期	一般短期融资券	福建省	漳州市
1082036.IB	10宁交通MTN1	6	5	100	4.88	附息	浮动利率	1年1次	2010/3/12	2010/3/16	2015/3/16		AA+	长期信用评级	上海新世纪资信评估投资服务有限公司	2014/5/29	AAA	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/6/30			FALSE	工业	运输	交通基础设施	公路与铁路	2010/3/5	2010/3/16	2010/3/17	余额包销		南京市交通建设投资控股(集团)有限责任公司	地方国有企业	银行间债券市场	到期	一般中期票据	江苏省	南京市
031234001.IB	12首发PPN001	30	3	100	5.5	附息	固定利率	1年1次	2012/3/13	2012/3/14	2015/3/14						AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/26			FALSE	工业	运输	公路与铁路运输	公路运输	2012/3/14			余额包销		北京市首都公路发展集团有限公司	地方国有企业	等待银行间或交易所上市	到期	定向工具	北京	北京市
041452009.IB	14公控CP001	3	1	100	5.7	到期一次还本付息	固定利率		2014/3/12	2014/3/14	2015/3/14		A-1	短期信用评级	联合资信评估有限公司	2015/2/13	AA+	长期信用评级	联合资信评估有限公司	2015/7/30			FALSE	工业	资本货物	综合类Ⅲ	综合类行业	2014/3/7	2014/3/14	2014/3/17	余额包销		佛山市公用事业控股有限公司	地方国有企业	银行间债券市场	到期	一般短期融资券	广东省	佛山市
041454015.IB	14北部湾CP001	5	1	100	5.75	到期一次还本付息	固定利率		2014/3/13	2014/3/14	2015/3/14		A-1	短期信用评级	上海新世纪资信评估投资服务有限公司	2014/6/4	AA+	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/7/30			FALSE	工业	运输	交通基础设施	海港与服务	2014/3/10	2014/3/14	2014/3/17	余额包销		广西北部湾国际港务集团有限公司	地方国有企业	银行间债券市场	到期	一般短期融资券	广西壮族自治区	南宁市
041454016.IB	14深投控CP001	20	1	100	5.4	到期一次还本付息	固定利率		2014/3/13	2014/3/14	2015/3/14		A-1	短期信用评级	中诚信国际信用评级有限责任公司	2014/7/28	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/7/30			FALSE	金融	多元金融	多元金融服务	多领域控股	2014/3/10	2014/3/14	2014/3/17	余额包销		深圳市投资控股有限公司	地方国有企业	银行间债券市场	到期	一般短期融资券	广东省	深圳市
041460017.IB	14赣铁CP001	8	1	100	5.95	到期一次还本付息	固定利率		2014/3/13	2014/3/14	2015/3/14		A-1	短期信用评级	中诚信国际信用评级有限责任公司	2014/6/27	AA+	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/29			FALSE	工业	运输	交通基础设施	公路与铁路	2014/3/10	2014/3/14	2014/3/17	余额包销		江西省铁路投资集团公司	地方国有企业	银行间债券市场	到期	一般短期融资券	江西省	南昌市
041461006.IB	14青投CP001	6	1	100	6.68	到期一次还本付息	固定利率		2014/3/13	2014/3/14	2015/3/14		A-1	短期信用评级	联合资信评估有限公司	2014/6/30	AA	长期信用评级	联合资信评估有限公司	2015/7/24			FALSE	金融	多元金融	多元金融服务	多领域控股	2014/3/6	2014/3/14	2014/3/17	余额包销		青海省投资集团有限公司	地方国有企业	银行间债券市场	到期	一般短期融资券	青海省	西宁市
041471001.IB	14龙控CP001	3	1	100	6.68	到期一次还本付息	固定利率		2014/3/13	2014/3/14	2015/3/14		A-1	短期信用评级	上海新世纪资信评估投资服务有限公司	2014/7/25	AA	长期信用评级	联合信用评级有限公司	2015/8/27			FALSE	可选消费	消费者服务Ⅱ	酒店、餐馆与休闲Ⅲ	酒店、度假村与豪华游轮	2014/3/6	2014/3/14	2014/3/17	余额包销		龙城旅游控股集团有限公司	地方国有企业	银行间债券市场	到期	一般短期融资券	江苏省	常州市
031390018.IB	13湘高速PPN001	10	2	100	5.8	附息	固定利率	1年1次	2013/3/7	2013/3/13	2015/3/13						AAA	长期信用评级	联合资信评估有限公司	2015/7/28			FALSE	工业	运输	交通基础设施	公路与铁路	2013/3/19			余额包销		湖南省高速公路建设开发总公司	地方国有企业	等待银行间或交易所上市	到期	定向工具	湖南省	长沙市
041458012.IB	14浦路桥CP001	5	1	100	5.65	到期一次还本付息	固定利率		2014/3/11	2014/3/13	2015/3/13		A-1	短期信用评级	上海新世纪资信评估投资服务有限公司	2014/5/30	AA+	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/5/20			FALSE	工业	资本货物	建筑与工程Ⅲ	建筑与工程	2014/3/6	2014/3/13	2014/3/14	余额包销		上海浦东路桥建设股份有限公司	地方国有企业	银行间债券市场	到期	一般短期融资券	上海	上海市
041461005.IB	14西基投CP001	20	1	100	5.9	到期一次还本付息	固定利率		2014/3/12	2014/3/13	2015/3/13		A-1	短期信用评级	中诚信国际信用评级有限责任公司	2014/7/16	AA+	长期信用评级	中诚信国际信用评级有限责任公司	2015/7/29			FALSE	工业	资本货物	综合类Ⅲ	综合类行业	2014/3/5	2014/3/13	2014/3/14	余额包销		西安城市基础设施建设投资集团有限公司	地方国有企业	银行间债券市场	到期	一般短期融资券	陕西省	西安市
031490113.IB	14皖交投PPN001	5	1	100	7.2	到期一次还本付息	固定利率		2014/3/11	2014/3/12	2015/3/12						AA+	长期信用评级	联合资信评估有限公司	2014/7/30			FALSE	工业	资本货物	综合类Ⅲ	综合类行业	2014/3/13			余额包销		安徽省交通投资集团有限责任公司	地方国有企业	等待银行间或交易所上市	到期	定向工具	安徽省	合肥市
041460016.IB	14广交投CP001	10	1	100	5.9	到期一次还本付息	固定利率		2014/3/11	2014/3/12	2015/3/12		A-1	短期信用评级	中诚信国际信用评级有限责任公司	2014/6/24	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/7/28			FALSE	工业	运输	交通基础设施	公路与铁路	2014/3/6	2014/3/12	2014/3/13	余额包销		广州交通投资集团有限公司	地方国有企业	银行间债券市场	到期	一般短期融资券	广东省	广州市
041461053.IB	14沪临港CP002	9	0.49	100	5.15	到期一次还本付息	固定利率		2014/9/11	2014/9/12	2015/3/11		A-1	短期信用评级	上海新世纪资信评估投资服务有限公司	2014/7/29	AA	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/7/24			FALSE	金融	房地产	房地产管理与开发	房地产开发	2014/9/5	2014/9/12	2014/9/15	余额包销		上海临港经济发展(集团)有限公司	地方国有企业	银行间债券市场	到期	一般短期融资券	上海	上海市
112001.SZ	08粤电债	20	7	100	5.5	附息	固定利率	1年1次	2008/3/10	2008/3/10	2015/3/10		AAA	长期信用评级	中诚信证券评估有限公司	2014/5/16	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/7/15	中国建设银行股份有限公司广东省分行	不可撤销连带责任担保	FALSE	公用事业	公用事业Ⅱ	电力Ⅲ	电力	2008/3/6	2008/3/27	2008/3/27	余额包销	2	广东电力发展股份有限公司	地方国有企业	深圳证券交易所	到期	一般公司债	广东省	广州市
098021.IB	09铜城投债01	5	6	100	7.45	附息	累进利率	1年1次	2009/3/10	2009/3/10	2015/3/10		AA	长期信用评级	大公国际资信评估有限公司	2014/6/27	AA-	长期信用评级	大公国际资信评估有限公司	2015/8/12		质押担保	TRUE	金融	房地产	房地产管理与开发	房地产开发	2009/3/9	2009/4/3	2009/4/7	余额包销		铜陵市城市建设投资开发有限责任公司	地方国有企业	银行间债券市场	到期	一般企业债	安徽省	铜陵市
122981.SH	09铜城投	5	6	100	7.45	附息	累进利率	1年1次	2009/3/10	2009/3/10	2015/3/10		AA	长期信用评级	大公国际资信评估有限公司	2014/6/27	AA-	长期信用评级	大公国际资信评估有限公司	2015/8/12		质押担保	TRUE	金融	房地产	房地产管理与开发	房地产开发	2009/3/9	2009/4/8	2009/4/9	余额包销		铜陵市城市建设投资开发有限责任公司	地方国有企业	上海证券交易所	到期	一般企业债	安徽省	铜陵市
1082030.IB	10苏国信MTN1	16	5	100	4.69	附息	固定利率	1年1次	2010/3/8	2010/3/10	2015/3/10		AAA	长期信用评级	中诚信国际信用评级有限责任公司	2014/6/16	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/24			FALSE	工业	资本货物	综合类Ⅲ	综合类行业	2010/3/3	2010/3/10	2010/3/11	余额包销		江苏省国信资产管理集团有限公司	地方国有企业	银行间债券市场	到期	一般中期票据	江苏省	南京市
041458008.IB	14深圳建发CP001	10	1	100	5.2	到期一次还本付息	固定利率		2014/3/6	2014/3/10	2015/3/10		A-1	短期信用评级	中诚信国际信用评级有限责任公司	2014/8/13	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/7/30			FALSE	工业	资本货物	建筑与工程Ⅲ	建筑与工程	2014/2/27	2014/3/10	2014/3/11	余额包销		深圳市特区建设发展集团有限公司	地方国有企业	银行间债券市场	到期	一般短期融资券	广东省	深圳市
041462006.IB	14南通国投CP001	10	1	100	5.9	到期一次还本付息	固定利率		2014/3/7	2014/3/10	2015/3/10		A-1	短期信用评级	大公国际资信评估有限公司	2014/7/7	AA+	长期信用评级	大公国际资信评估有限公司	2015/6/25			FALSE	公用事业	公用事业Ⅱ	水务Ⅲ	水务	2014/2/28	2014/3/10	2014/3/11	余额包销		南通国有资产投资控股有限公司	地方国有企业	银行间债券市场	到期	一般短期融资券	江苏省	南通市
011484002.IB	14宁沪高SCP002	5	0.74	100	4.89	到期一次还本付息	固定利率		2014/6/12	2014/6/13	2015/3/10						AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/7/3			FALSE	工业	运输	交通基础设施	公路与铁路	2014/6/11	2014/6/13	2014/6/16	余额包销		江苏宁沪高速公路股份有限公司	地方国有企业	银行间债券市场	到期	超短期融资债券	江苏省	南京市
011499011.IB	14皖交投SCP001	10	0.49	100	4.99	到期一次还本付息	固定利率		2014/9/9	2014/9/11	2015/3/10						AA+	长期信用评级	联合资信评估有限公司	2014/7/30			FALSE	工业	资本货物	综合类Ⅲ	综合类行业	2014/9/5	2014/9/11	2014/9/12	余额包销		安徽省交通投资集团有限责任公司	地方国有企业	银行间债券市场	到期	超短期融资债券	安徽省	合肥市
1082028.IB	10津保税MTN1	20	5	100	5.15	附息	固定利率	1年1次	2010/3/8	2010/3/9	2015/3/9		AA+	长期信用评级	上海新世纪资信评估投资服务有限公司	2014/6/29	AA+	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/8/31			FALSE	工业	资本货物	综合类Ⅲ	综合类行业	2010/3/1	2010/3/9	2010/3/10	余额包销		天津保税区投资控股集团有限公司	地方国有企业	银行间债券市场	到期	一般中期票据	天津	天津市
031490097.IB	14西安高新PPN003	10	1	100	7.2	到期一次还本付息	固定利率		2014/3/5	2014/3/7	2015/3/7						AA+	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/26			FALSE	金融	多元金融	多元金融服务	多领域控股	2014/3/7			余额包销		西安高新控股有限公司	地方国有企业	等待银行间或交易所上市	到期	定向工具	陕西省	西安市
031490099.IB	14金阳PPN001	10	1	100	7.8	到期一次还本付息	固定利率		2014/3/6	2014/3/7	2015/3/7						AA+	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/25			FALSE	工业	资本货物	建筑与工程Ⅲ	建筑与工程	2014/3/11			余额包销		贵阳金阳建设投资(集团)有限公司	地方国有企业	等待银行间或交易所上市	到期	定向工具	贵州省	贵阳市
041460013.IB	14鲁信CP001	5	1	100	5.9	到期一次还本付息	固定利率		2014/3/6	2014/3/7	2015/3/7		A-1	短期信用评级	上海新世纪资信评估投资服务有限公司	2014/6/24	AAA	长期信用评级	联合资信评估有限公司	2015/7/1			FALSE	金融	多元金融	多元金融服务	多领域控股	2014/3/3	2014/3/7	2014/3/10	余额包销		山东省鲁信投资控股集团有限公司	地方国有企业	银行间债券市场	到期	一般短期融资券	山东省	济南市
041453026.IB	14云能投CP001	10	1	100	5.77	到期一次还本付息	固定利率		2014/3/4	2014/3/6	2015/3/6		A-1	短期信用评级	中诚信国际信用评级有限责任公司	2014/5/16	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/26			FALSE	金融	多元金融	多元金融服务	多领域控股	2014/2/27	2014/3/6	2014/3/7	余额包销		云南省能源投资集团有限公司	地方国有企业	银行间债券市场	到期	一般短期融资券	云南省	昆明市
041456006.IB	14西江CP001	3	1	100	6.3	到期一次还本付息	固定利率		2014/3/4	2014/3/5	2015/3/5		A-1	短期信用评级	大公国际资信评估有限公司	2014/7/28	AA	长期信用评级	大公国际资信评估有限公司	2015/7/29			FALSE	公用事业	公用事业Ⅱ	电力Ⅲ	电力	2014/2/27	2014/3/5	2014/3/6	余额包销		广西西江开发投资集团有限公司	地方国有企业	银行间债券市场	到期	一般短期融资券	广西壮族自治区	南宁市
041460008.IB	14鄂西圈CP001	6	1	100	6	到期一次还本付息	固定利率		2014/3/4	2014/3/5	2015/3/5		A-1	短期信用评级	中诚信国际信用评级有限责任公司	2014/10/24	AA	长期信用评级	中诚信国际信用评级有限责任公司	2015/8/10			FALSE	可选消费	消费者服务Ⅱ	酒店、餐馆与休闲Ⅲ	酒店、度假村与豪华游轮	2014/2/25	2014/3/5	2014/3/6	余额包销		湖北省鄂西生态文化旅游圈投资有限公司	地方国有企业	银行间债券市场	到期	一般短期融资券	湖北省	武汉市
1082026.IB	10汉城投MTN1	10	5	100	5.15	附息	固定利率	1年1次	2010/3/3	2010/3/4	2015/3/4		AA+	长期信用评级	联合资信评估有限公司	2014/6/30	AAA	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/7/21			FALSE	工业	资本货物	综合类Ⅲ	综合类行业	2010/2/24	2010/3/4	2010/3/5	余额包销		武汉市城市建设投资开发集团有限公司	地方国有企业	银行间债券市场	到期	一般中期票据	湖北省	武汉市
031478002.IB	14津城建PPN002	30	1	100	7	到期一次还本付息	固定利率		2014/3/3	2014/3/4	2015/3/4						AAA	长期信用评级	联合资信评估有限公司	2015/6/29			FALSE	工业	资本货物	综合类Ⅲ	综合类行业	2014/3/6			余额包销		天津城市基础设施建设投资集团有限公司	地方国有企业	等待银行间或交易所上市	到期	定向工具	天津	天津市
1082024.IB	10北控集MTN1	40	5	100	4.69	附息	固定利率	1年1次	2010/2/26	2010/3/1	2015/3/1		AAA	长期信用评级	中诚信国际信用评级有限责任公司	2014/7/21	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/26			FALSE	金融	多元金融	多元金融服务	多领域控股	2010/2/23	2010/3/1	2010/3/2	余额包销		北京控股集团有限公司	地方国有企业	银行间债券市场	到期	一般中期票据	北京	北京市
031474001.IB	14蒙高路PPN001	5	1	100	7	到期一次还本付息	固定利率		2014/2/26	2014/2/28	2015/2/28						AA+	长期信用评级	东方金诚国际信用评估有限公司	2015/7/23			FALSE	工业	运输	交通基础设施	公路与铁路	2014/3/4			余额包销		内蒙古高等级公路建设开发有限责任公司	地方国有企业	等待银行间或交易所上市	到期	定向工具	内蒙古自治区	呼和浩特市
041453021.IB	14徐矿CP001	5	1	100	5.7	到期一次还本付息	固定利率		2014/2/26	2014/2/28	2015/2/28		A-1	短期信用评级	大公国际资信评估有限公司	2014/7/25	AA+	长期信用评级	大公国际资信评估有限公司	2015/7/6			FALSE	能源	能源Ⅱ	石油、天然气与供消费用燃料	煤炭与消费用燃料	2014/2/19	2014/2/28	2014/3/3	余额包销		徐州矿务集团有限公司	地方国有企业	银行间债券市场	到期	一般短期融资券	江苏省	徐州市
081360001.IB	13龙城ABN001	5	2	100	5.8	附息	固定利率	1年1次	2013/2/26	2013/2/27	2015/2/27						AA+	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/6/17			FALSE	工业	资本货物	建筑与工程Ⅲ	建筑与工程	2013/2/28			余额包销		太原市龙城发展投资有限公司	地方国有企业	等待银行间或交易所上市	到期	交易商协会ABN	山西省	太原市
125081.SH	12九泰债	2	2	100	9.2	附息	固定利率	1年1次	2013/2/27	2013/2/27	2015/2/27										鄂尔多斯市圣圆投资集团有限责任公司	不可撤销连带责任担保	FALSE	公用事业	公用事业Ⅱ	复合型公用事业Ⅲ	复合型公用事业	2013/5/8	2013/4/23	2013/4/24	余额包销		伊金霍洛旗九泰热力有限责任公司	地方国有企业	上海证券交易所	到期	私募债	内蒙古自治区	鄂尔多斯市
031490080.IB	14泰达投资PPN001	10	1	100	7	到期一次还本付息	固定利率		2014/2/26	2014/2/27	2015/2/27						AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/26			FALSE	金融	多元金融	多元金融服务	多领域控股	2014/3/3			余额包销		天津泰达投资控股有限公司	地方国有企业	等待银行间或交易所上市	到期	定向工具	天津	天津市
041464008.IB	14瓯交投CP001	7	1	100	5.8	到期一次还本付息	固定利率		2014/2/25	2014/2/27	2015/2/27		A-1	短期信用评级	大公国际资信评估有限公司	2014/7/29	AA	长期信用评级	鹏元资信评估有限公司	2015/6/25			FALSE	工业	运输	交通基础设施	公路与铁路	2014/2/18	2014/2/27	2014/2/28	余额包销		温州市交通投资集团有限公司	地方国有企业	银行间债券市场	到期	一般短期融资券	浙江省	温州市
031490064.IB	14鄂联投PPN001	5	1	100	7.3	到期一次还本付息	固定利率		2014/2/24	2014/2/25	2015/2/25						AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/1			FALSE	工业	运输	交通基础设施	公路与铁路	2014/2/27			余额包销		湖北省联合发展投资集团有限公司	地方国有企业	等待银行间或交易所上市	到期	定向工具	湖北省	武汉市
041464007.IB	14宁化工CP001	3	1	100	6.2	到期一次还本付息	固定利率		2014/2/20	2014/2/24	2015/2/24		A-1	短期信用评级	上海新世纪资信评估投资服务有限公司	2014/6/27	AA+	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/5/26			FALSE	公用事业	公用事业Ⅱ	复合型公用事业Ⅲ	复合型公用事业	2014/2/13	2014/2/24	2014/2/25	余额包销		南京化学工业园有限公司	地方国有企业	银行间债券市场	到期	一般短期融资券	江苏省	南京市
011490002.IB	14苏交通SCP002	30	0.74	100	5.05	到期一次还本付息	固定利率		2014/5/28	2014/5/29	2015/2/23						AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/8/6			FALSE	工业	运输	交通基础设施	公路与铁路	2014/5/27	2014/5/29	2014/5/30	余额包销		江苏交通控股有限公司	地方国有企业	银行间债券市场	到期	超短期融资债券	江苏省	南京市
031231001.IB	12苏交通PPN001	20	3	100	6.09	附息	固定利率	1年1次	2012/2/21	2012/2/22	2015/2/22						AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/8/6			FALSE	工业	运输	交通基础设施	公路与铁路	2012/2/24			余额包销		江苏交通控股有限公司	地方国有企业	等待银行间或交易所上市	到期	定向工具	江苏省	南京市
031490056.IB	14西安高新PPN002	10	1	100	7.5	到期一次还本付息	固定利率		2014/2/20	2014/2/21	2015/2/21						AA+	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/26			FALSE	金融	多元金融	多元金融服务	多领域控股	2014/2/25			余额包销		西安高新控股有限公司	地方国有企业	等待银行间或交易所上市	到期	定向工具	陕西省	西安市
041454010.IB	14洋河CP001	20	1	100	5.7	到期一次还本付息	固定利率		2014/2/20	2014/2/21	2015/2/21		A-1	短期信用评级	大公国际资信评估有限公司	2014/6/30	AA+	长期信用评级	大公国际资信评估有限公司	2015/7/29			FALSE	日常消费	食品、饮料与烟草	饮料	白酒与葡萄酒	2014/2/17	2014/2/21	2014/2/24	余额包销		江苏洋河集团有限公司	地方国有企业	银行间债券市场	到期	一般短期融资券	江苏省	宿迁市
031490055.IB	14闽漳龙PPN002	8	1	100	7.7	到期一次还本付息	固定利率		2014/2/19	2014/2/20	2015/2/20						AA+	长期信用评级	联合资信评估有限公司	2015/9/15			FALSE	工业	运输	交通基础设施	公路与铁路	2014/2/24			余额包销		福建漳龙集团有限公司	地方国有企业	等待银行间或交易所上市	到期	定向工具	福建省	漳州市
041454008.IB	14方洋CP001	5	1	100	6.18	到期一次还本付息	固定利率		2014/2/19	2014/2/20	2015/2/20		A-1	短期信用评级	联合资信评估有限公司	2014/6/27	AA	长期信用评级	联合资信评估有限公司	2015/7/30			FALSE	工业	资本货物	建筑与工程Ⅲ	建筑与工程	2014/2/14	2014/2/20	2014/2/21	余额包销		江苏方洋集团有限公司	地方国有企业	银行间债券市场	到期	一般短期融资券	江苏省	连云港市
041459005.IB	14武国资CP001	5	1	100	5.85	到期一次还本付息	固定利率		2014/2/17	2014/2/19	2015/2/19		A-1	短期信用评级	中诚信国际信用评级有限责任公司	2014/6/26	AA+	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/23			FALSE	工业	资本货物	综合类Ⅲ	综合类行业	2014/2/10	2014/2/19	2014/2/20	余额包销		武汉国有资产经营公司	地方国有企业	银行间债券市场	到期	一般短期融资券	湖北省	武汉市
031490048.IB	14西安高新PPN001	10	1	100	7.5	到期一次还本付息	固定利率		2014/2/17	2014/2/18	2015/2/18						AA+	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/26			FALSE	金融	多元金融	多元金融服务	多领域控股	2014/2/20			余额包销		西安高新控股有限公司	地方国有企业	等待银行间或交易所上市	到期	定向工具	陕西省	西安市
041464055.IB	14连城投CP002	3	0.49	100	5.18	到期一次还本付息	固定利率		2014/8/21	2014/8/22	2015/2/18		A-1	短期信用评级	联合资信评估有限公司	2014/11/24	AA+	长期信用评级	联合资信评估有限公司	2015/7/29			FALSE	工业	资本货物	建筑与工程Ⅲ	建筑与工程	2014/8/18	2014/8/22	2014/8/25	余额包销		连云港市城市建设投资集团有限责任公司	地方国有企业	银行间债券市场	到期	一般短期融资券	江苏省	连云港市
011493001.IB	14穗地铁SCP001	25	0.74	100	5.3	到期一次还本付息	固定利率		2014/5/21	2014/5/22	2015/2/16						AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/7/31			FALSE	工业	运输	交通基础设施	公路与铁路	2014/5/20	2014/5/22	2014/5/23	余额包销		广州地铁集团有限公司	地方国有企业	银行间债券市场	到期	超短期融资债券	广东省	广州市
1282032.IB	12外高桥MTN1	4	3	100	5.34	附息	固定利率	1年1次	2012/2/14	2012/2/15	2015/2/15		AAA	长期信用评级	上海新世纪资信评估投资服务有限公司	2014/12/9	AAA	长期信用评级	上海新世纪资信评估投资服务有限公司	2015/7/23			FALSE	工业	资本货物	综合类Ⅲ	综合类行业	2012/2/7	2012/2/15	2012/2/16	余额包销		上海外高桥资产管理有限公司	地方国有企业	银行间债券市场	到期	一般中期票据	上海	上海市
041464034.IB	14鄂联投CP001	14	0.74	100	5.63	到期一次还本付息	固定利率		2014/5/15	2014/5/19	2015/2/13		A-1	短期信用评级	中诚信国际信用评级有限责任公司	2014/6/26	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/1			FALSE	工业	运输	交通基础设施	公路与铁路	2014/5/12	2014/5/19	2014/5/20	余额包销		湖北省联合发展投资集团有限公司	地方国有企业	银行间债券市场	到期	一般短期融资券	湖北省	武汉市
041451005.IB	14宁波港CP001	1	1	100	5.9	到期一次还本付息	固定利率		2014/2/11	2014/2/12	2015/2/12		A-1	短期信用评级	中诚信国际信用评级有限责任公司	2014/7/10	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/26			FALSE	工业	运输	交通基础设施	海港与服务	2014/1/29	2014/2/12	2014/2/13	余额包销		宁波港股份有限公司	地方国有企业	银行间债券市场	到期	一般短期融资券	浙江省	宁波市
041454005.IB	14深地铁CP001	15	1	100	5.95	到期一次还本付息	固定利率		2014/2/11	2014/2/12	2015/2/12		A-1	短期信用评级	大公国际资信评估有限公司	2014/5/20	AAA	长期信用评级	大公国际资信评估有限公司	2015/6/9			FALSE	工业	运输	公路与铁路运输	铁路运输	2014/1/29	2014/2/12	2014/2/13	余额包销		深圳市地铁集团有限公司	地方国有企业	银行间债券市场	到期	一般短期融资券	广东省	深圳市
041472002.IB	14深地铁CP002	10	1	100	5.95	到期一次还本付息	固定利率		2014/2/11	2014/2/12	2015/2/12		A-1	短期信用评级	大公国际资信评估有限公司	2014/5/20	AAA	长期信用评级	大公国际资信评估有限公司	2015/6/9			FALSE	工业	运输	公路与铁路运输	铁路运输	2014/1/29	2014/2/12	2014/2/13	余额包销		深圳市地铁集团有限公司	地方国有企业	银行间债券市场	到期	一般短期融资券	广东省	深圳市
1082019.IB	10川高速MTN1	15	5	100	5.23	附息	浮动利率	1年1次	2010/2/9	2010/2/11	2015/2/11		AAA	长期信用评级	中诚信国际信用评级有限责任公司	2014/6/13	AA+	长期信用评级	中诚信国际信用评级有限责任公司	2015/7/28	四川省交通投资集团有限责任公司	不可撤销连带责任担保	FALSE	工业	运输	交通基础设施	公路与铁路	2010/2/2	2010/2/11	2010/2/12	余额包销		四川高速公路建设开发总公司	地方国有企业	银行间债券市场	到期	一般中期票据	四川省	成都市
041454004.IB	14苏交通CP002	20	1	100	5.95	到期一次还本付息	固定利率		2014/2/10	2014/2/11	2015/2/11		A-1	短期信用评级	中诚信国际信用评级有限责任公司	2014/6/27	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/8/6			FALSE	工业	运输	交通基础设施	公路与铁路	2014/1/28	2014/2/11	2014/2/12	余额包销		江苏交通控股有限公司	地方国有企业	银行间债券市场	到期	一般短期融资券	江苏省	南京市
011588001.IB	15豫投资SCP001	3	0.08	100	4.9	到期一次还本付息	固定利率		2015/1/8	2015/1/12	2015/2/11						AAA	长期信用评级	联合资信评估有限公司	2015/6/26			FALSE	工业	资本货物	综合类Ⅲ	综合类行业	2015/1/7	2015/1/12	2015/1/13	余额包销		河南投资集团有限公司	地方国有企业	银行间债券市场	到期	超短期融资债券	河南省	郑州市
